primaryKey,sector,ward,structureName,deity,areaSqFt,footfall,dateOfEstablishment,obstructingTrafficOrViolating,registration,relevance,remarks,latitude,longitude,status
168,S2,185,Om Sai Ram mandir,Sai Baba,65.55,50,1980-04-19,Yes,-,Moderate,Sai Mandir is situated in a very narrow lane but is one of the busiest temples in the transit camp area.,19.0441931,72.8546752,Consolidate
172,S3,188,shree sai Mandir,Sai Baba,61.12,15,2011-01-09,Yes,Charity Commission,Moderate,The temple is situated inside the Chota Sion Hospital. The temple has a good structure and is well-maintained.,19.03945,72.85164333,Consolidate
30,S5,183,Laxmi Mata Mandir,Laxmi,811.29,75,1980-11-09,Yes,Charity Commission,High,"This temple was renovated in 2020 by Varsha Gaikwad and is located near the Gunwant coaching classes, Kala Kila. It is looked after by the Telugu Mochi Samaj Sanstha.",0,0,Relocate
171,S1,189,new valmiki mandir,Valmiki,61.46,5,1990-01-01,Yes,-,Low,"According to locals, the temple is 40–50 years old and located on the ground floor of a house. Though recently renovated, it remains poorly maintained inside. The temple falls under Siddharth Nagar. A Sai Baba temple and a mandal space also present",0,0,Consolidate
185,S2,186,saibaba mandir,Sai Baba,48.7,10,1964-12-31,Yes,Charity Commission,Low,This is a small temple.,19.04441333,72.85833167,Consolidate
174,S2,185,"bajrang sahayyak mandal, dharavi, Mumbai",Hanuman,60.19,50,2005-07-03,Yes,Charity Commission,Moderate,Bajrang Sahayyak Mandal in Dharavi works under Bajrang Dal and looks after this small mandir.,0,0,Consolidate
175,S6,189,Hanuman Mitra Mandal,Hanuman,57.41,15,2007-01-01,No,-,Moderate,"The temple, over 50 years old as per locals, is small but well-maintained and located in an open space. It is registered under Hanuman Mitra Mandal, with the surrounding area predominantly Marathi. An additional small structure nearby exists, but its affiliation with the temple remains unclear.",19.0428133,72.8471691,Consolidate
176,S4,186,shiv Sankar mandir,Shiva,56.08,40,1971-12-01,No,-,Low,This temple is situated on the ground of Holi bonfire.,19.04722333,72.859995,Consolidate
177,S3,188,Samprodaya Ganapathhy Temple,Ganesh,55.72,10,1992-11-09,Yes,-,Moderate,"Located in a highly Muslim-dominated area, the temple is medium-sized, well-maintained, and appears to be functioning actively. It has been marked under DRP.",19.041134,72.8524238,Consolidate
178,S3,188,Shree mariamman Navarathiri utsav mandal,Mariyamman,55.66,5,2004-04-22,Yes,-,Low,"The temple is located on the 60-ft road of Dharavi, in a Muslim-dominated area with a significant South Indian population nearby.",19.0426566,72.8472141,Consolidate
179,S6,189,Hanuman mandir,Hanuman,55.65,5,1973-01-01,Yes,-,Low,"The 50–60-year-old temple, once submerged, has been newly renovated by the adjacent resident family. Though small, it is well-maintained and mainly visited by family members or passersby. Survey completed.",19.0426621,72.8472079,Consolidate
180,S2,186,Shree shiv mandir,Shiva,55.45,25,1999-01-07,Yes,Charity Commission,Moderate,,19.04389667,72.859115,Consolidate
181,S4,186,shree mahalaxmi mandir,Laxmi,55.03,70,2007-07-14,Yes,Charity Commission,Moderate,This temple is managed by the Ekvira Mitra Mandal.,19.04696667,72.85675667,Consolidate
182,S3,188,shree Hanuman mandir,Hanuman,52.32,5,1994-01-31,Yes,-,Low,The temple has a small structure and is located on Dharavi’s 60-ft road. It is worshipped by multiple Hindu communities.,19.03727667,72.851875,Consolidate
187,S1,187,Sai temple,Sai Baba,42.53,5,2009-01-07,Yes,-,Low,"The temple is very small, consisting of a single slab with Sai Baba’s idol, and is poorly maintained. During Navratri, the area is cleaned, and a Goddess’s idol is brought in for worship.",0,0,Consolidate
184,S5,183,Shree Hanuman Mandir,Hanuman,51.92,25,1990-10-08,Yes,-,Low,Small mandir on the road without a proper structure.,19.05297667,72.86550667,Consolidate
191,S2,184,Shri Sainath Mandir,Sai Baba,37.21,30,1984-04-20,No,-,Moderate,"Located in the main Rakhi market area, the well-maintained temple has good infrastructure but is somewhat difficult to access due to a Rakhi shop (owned by a member of the Patva community) situated right in front.",19.0462131,72.8622399,Consolidate
186,S2,185,shree shiv mandir,Shiva,47.37,15,2008-08-02,Yes,-,Low,,19.0420902,72.859657,Consolidate
192,S2,184,Sai Temple,Sai Baba,36.82,10,2018-03-21,No,Charity Commission,Low,"The small temple, believed to be 20–30 years old, is maintained by the Mahatma Gandhi Rahivasi Sangh, primarily comprising Marathi members. It features a large open space in front and is located in a Marathi-dominated area.",19.0424344,72.8591353,Consolidate
188,S5,183,Shri Periyapalayam Amman Mandir,Periyapalayam Amman,41.33,45,1987-01-01,Yes,-,Moderate,"Shri Periyapalayathu Amman Mandir is a small community shrine dedicated to Goddess Bhavani Amman, maintained by Tamil-speaking residents.",19.04868667,72.85619167,Consolidate
193,S4,186,Shree Sai Mandir,Sai Baba,36.6,15,2004-11-15,No,Charity Commission,Moderate,The temple is small and exists in a highly Marathi dominant area,19.04396,72.85513667,Consolidate
190,S3,188,shree vinayak mandir,Ganesh,37.36,20,2002-09-01,No,Charity Commission,Moderate,"The Om Shree Vinayak Temple is in good condition and easily accessible, located in an area with prominent South Indian and Muslim communities. No DRP marking is visible on this temple, though a nearby Ganpati temple in poor condition has been marked under DRP.",19.04027,72.85262333,Consolidate
194,S4,186,shree sai mandir,Sai Baba,35.86,15,1970-07-20,No,Charity Commission,Low,The temple is a 50-year-old large structure located in front of the UBT Shakha.,19.04760667,72.860385,Consolidate
205,S5,183,Shri Saibaba Mandir,Sai Baba,26.19,20,1995-07-13,No,-,Low,Sai Baba murti on the street.,19.05047833,72.85631,Consolidate
206,S5,183,Sai mandir,Sai Baba,26.1,60,1990-09-10,Yes,-,High,"This mandir was established in 1989 and is maintained by the Sai Mitra Mandal of PMGP Colony. Most Sai devotees from PMGP Colony, Shatabdi Nagar, Naik Nagar, and Kala Killa visit this temple to offer their prayers to Sai Baba. It is one of the prominent Sai temples in the area. Located right by the roadside, many devotees passing by stop to offer their prayers and the temple is crowded on Thursday.",19.05124,72.86040833,Consolidate
208,S5,183,Shri Sai Mandir,Sai Baba,25.56,10,2002-05-31,Yes,-,Low,,19.04938333,72.85647667,Consolidate
89,S1,189,Yalamma temple,Renuka,228.57,10,2017-03-01,Yes,-,Moderate,"The temple is built by the South Indian communities in the area. The nearby communities to the temple are a mix of Marathi and South Indians. However, the deity is worshipped by all communities nearby. The temple is situated on the side of the railway tracks near the Mahim Railway Station. There is always a caretaker who stays there.",19.0428038,72.8471605,Consolidate
94,S1,189,santoshi mata and tulja bhavani mata mandir,Santoshi,209.28,5,2019-01-01,Yes,-,Low,"Located beside the railway tracks near Mahim Railway Station, the temple serves a mixed community, mainly Marathis and South Indians. It has large premises used for various purposes, including sacrificial rituals. No survey marking was found on the structure or its premises.",19.042666,72.8471904,Consolidate
197,S3,188,Pechi Amman Mandir,Parvati,34.9,5,2008-10-14,Yes,-,Low,The temple has a small structure and is located on the main road. The surrounding area is predominantly inhabited by the South Indian community.,19.042195,72.85379,Consolidate
219,S3,188,shree Mahsoba mandir,Shiva,20.29,12,2023-11-06,Yes,Charity Commission,Moderate,"Located on Sant Kakaya Marg, the temple serves a mixed community, with Marathi and South Indian residents being in majority.",19.044005,72.854335,Consolidate
200,S2,185,Matamma Mahakali Shakti prathisthan,Kali,33.74,50,1997-12-31,Yes,-,Moderate,"Matamma Mahakali is primarily worshipped by South Indian communities, especially Dalit Tamil-speaking groups.",19.0426923,72.8471972,Consolidate
202,S2,183,Shri Mahalakshmi Devi Mandir,Laxmi,28.54,25,1985-04-18,No,-,Low,Small mandir without proper structure.,19.0405877,72.8573803,Consolidate
203,S1,189,gudhgao mata mandir,Gudhgao Mata,28.44,5,1985-12-16,Yes,-,Low,"The Kuldevi Mata Mandir of the Valmiki community is located about 100 meters inside a gully at Jasmine Mill Road. The surrounding area is poorly maintained. The temple is used for various rituals, including sacrificial ones.",19.037725,72.85218833,Consolidate
204,S4,186,Aknath belgaon maharaj Mandir,Eknath,28.24,NA,1975-06-06,Yes,-,NA,Not found,19.04421167,72.85555167,Consolidate
209,S2,185,Shri Sai Mandir,Sai Baba,25.47,20,1990-04-30,No,-,Low,A small mandir located on the street.,19.037264,72.8562109,Consolidate
211,S5,183,Sai Mandir,Sai Baba,24.96,20,2012-06-25,No,Charity Commission,Low,It is a small mall mandir without a proper structure.,19.049593,72.8610875,Consolidate
207,S3,188,shree Laxmi Mata mandir,Laxmi,25.97,8,1925-09-25,Yes,-,Moderate,The temple is situated on Sant Kakaya Marg. The temple does not come in Gul Mohammad Chawl.,19.0441547,72.8547859,Consolidate
212,S4,186,Sai Baba mandir,Sai Baba,24.01,60,2018-06-02,No,Charity Commission,Low,Trustee: Navin Raut. Located close to Cross Road.,19.04864167,72.85622833,Consolidate
224,S2,183,sai mandir,Sai Baba,18.74,20,2007-04-15,Yes,Charity Commission,Low,Small mandir without structure on the street.,19.04265833,72.84727833,Consolidate
210,S5,183,Laxmi Mata Mandir,Laxmi,25.14,40,1975-08-19,No,-,Low,"This is a small, 40-year-old temple. Earlier, Goddess Saraswati was worshipped here, but in recent years, it has been converted into a Laxmi Mata Mandir. Located in a narrow gully, the temple has a small structure. Devotees of Goddess Laxmi passing by often stop to offer prayers.",19.04709667,72.86226833,Consolidate
103,S3,188,shree Durga Devi Mandir,Durga,184.05,5,2021-12-31,Yes,Charity Commission,Low,"The area is predominantly Muslim, with a sizable South Indian community and a smaller Marathi community presence. The temple is well-maintained by the local community.",19.040795,72.85261333,Consolidate
226,S3,188,Sai Baba Mandir,Sai Baba,17.21,5,2015-07-13,Yes,Charity Commission,Low,"The temple was built by the South Indian community, which is the dominant population in the area. Recently built.",19.04069667,72.85521833,Consolidate
213,S2,183,Ganesh Mandir,Ganesh,23.58,NA,1992-05-02,No,Charity Commission,NA,Not found,19.042495,72.85885667,Consolidate
214,S2,184,Shiv Mandir,Shiva,22.73,NA,1960-05-08,No,-,NA,Not found,19.04667667,72.86154333,Consolidate
216,S4,186,shree Siddhivinayak Mandir,Ganesh,21.3,30,1990-11-23,Yes,-,Low,The temple is small and poorly maintained,19.04546167,72.855045,Consolidate
217,S4,186,shiv mandir,Shiva,21.24,25,1964-12-31,Yes,-,Low,The area is dominated by Marathis,19.04332833,72.85688,Consolidate
36,S5,183,Shree Omkareshwar Mandal,Shiva,749.59,60,1998-12-30,Yes,Charity Commission,High,"This mandir was established in 1965. It holds great significance for the local community, with many people visiting daily to offer prayers. Special occasions: During Mahashivratri, devotees organize a bhandara and a grand puja, attracting a much larger crowd.",19.04967,72.86105167,Consolidate
113,S5,183,Killeshvar Dutt Mandir,Dattatreya,162.76,20,2016-07-13,Yes,-,Low,"Near the Reva Fort, there is a Datta murti placed in a corner. People passing by stop for a moment and pray to the murti.",19.0426625,72.8472042,Consolidate
222,S2,183,Shiv Mandir Galli Chawl Committee,Shiva,19.76,15,1990-01-01,Yes,-,Low,"In Shahid Bhagat Singh Nagar, the Galli Chawl Committee runs a small Shiv Mandir. The temple does not have a proper structure.",0,0,Consolidate
223,S5,183,shree santoshi mata Mandir,Santoshi,19.62,50,1990-01-01,Yes,-,Moderate,Small mandir without proper structure but one of the busiest mandirs in Prem Nagar.,19.0525949,72.8655832,Consolidate
228,S3,188,sai mandir,Sai Baba,16.84,5,2013-12-03,No,Charity Commission,Low,The temple has a small structure and is located in an area predominantly inhabited by the Muslim community.,19.0390326,72.8533252,Consolidate
234,S1,189,shree sai baba mandir,Sai Baba,14.2,8,1981-07-24,No,-,Low,"Believed to be over 50 years old, the temple is maintained by nearby residents and kept clean. Located in an area inhabited by multiple communities, it is predominantly surrounded by the Valmiki community but is visited by all, regardless of background. The temple structure is relatively new.",19.03640833,72.851645,Consolidate
227,S2,183,shri rampir mandir,NA,16.88,NA,1980-05-31,Yes,-,NA,Not found,19.0417573,72.8582644,Consolidate
125,S6,189,mutthumaruyamma trust,Muthumariyamman,140.93,30,2015-06-04,No,Charity Commission,Moderate,"Located on the main road near Meghwadi, the temple is a newly constructed South Indian temple, replacing an earlier small structure. It is well-maintained and features ample open space where people rest during the day.",19.0426821,72.8471988,Consolidate
229,S2,185,shree Hanuman mandir,Hanuman,16.7,35,1985-06-02,Yes,-,Low,"The temple is located at Block No. 7, Transit Camp.",19.04389667,72.859115,Consolidate
230,S2,184,Shri Kali Mata Mandir,Kali,16.62,30,1975-03-06,No,-,Moderate,This temple is located near Shri Mariyamman Devi Mandir and has a very small carpet area. It also has a separate DRP number.,19.0451448,72.8602153,Consolidate
231,S4,186,shree Hanuman Mandir,Hanuman,15.5,40,1980-08-23,No,-,Moderate,This temple is big in size and is privately owned.,19.04350333,72.85552333,Consolidate
232,S2,185,Kuruppa Swami Mandir,Kuruppa (Local South Indian deity),14.89,30,2012-10-24,No,-,Moderate,The temple is located under a large banyan tree in Ganesh Vikas Nagar. There is a small idol sheltered by a tin shed. This is a small temple without a proper structure.,19.04362,72.86065333,Consolidate
233,S1,187,Shri Sashatha Mandir,Ayyappa,14.66,50,1955-04-21,No,Charity Commission,Low,"The temple holds significance linked to the Shree Mahamayee Amman Devasthan across the road, both maintained by the same family. It is small but well-maintained and visited by male and female devotees, especially from South Indian communities.",19.04302667,72.847595,Consolidate
236,S2,183,Sai mandir,Sai Baba,13.73,20,1997-08-17,Yes,Charity Commission,Low,This small temple was built in 2012 with the help of then MLA Varsha Gaikwad. It is located next to the sports complex and mostly remains closed now.,19.0411805,72.8582719,Consolidate
235,S6,189,Shiv Mandir,Shiva,13.9,5,1994-12-31,No,-,Low,There is no concrete structure of a temple. The temple only has the Shivling under a sacred tree. Survey marking is not visible.,0,0,Consolidate
237,S5,183,Shree Sai mandir,Sai Baba,13.21,15,2005-01-17,Yes,-,Moderate,"This is a very small, old Sai Baba temple located in Kranti Nagar. The temple has a soothing environment and a well-maintained verandah. Elderly people often come here to sit and relax, while children play around the area.",19.05117833,72.86043333,Consolidate
245,S1,189,sai temple,Sai Baba,10.62,5,2016-03-19,Yes,-,Low,"The temple is poorly maintained and located in a densely packed area, with nearby communities mainly comprising of Marathis and South Indians.",0,0,Consolidate
129,S2,183,Om Shakti Devi Mandir,Durga,132.05,30,2012-10-15,Yes,Charity Commission,Low,"Small Durga Mata Mandir near Pavan General Store, Rajiv Gandhi Nagar.",0,0,Consolidate
239,S4,186,shree Siddhivinayak Mandir,Ganesh,11.78,NA,1989-12-31,Yes,-,NA,Not found,19.04425,72.85469333,Consolidate
240,S2,185,shiv sports club,NA,11.55,NA,1998-12-29,Yes,-,NA,Not found,0,0,Consolidate
241,S4,186,Shree vetaal Baba Mandir,Vetal Baba,11.24,50,1985-07-26,Yes,-,Moderate,Mandir is small but is the busiest mandir on LP Chawl Road.,19.04407667,72.854435,Consolidate
242,S4,186,Shree Tamata Ganpati Mandir,Ganesh,11.21,5,1986-12-31,Yes,-,Low,The temple is owned by a family.,19.046072,72.8549237,Consolidate
238,S3,188,ganesh mandir,Ganesh,12.55,15,2024-03-26,Yes,Charity Commission,Moderate,"The temple is located at the junction of Prabhakar Kunte Nagar and is registered under a mandal. Although surveyed, the survey mark is not visible.",19.0426739,72.8471982,Consolidate
244,S4,186,shree Ganesh Mandir,Ganesh,10.78,10,1994-06-06,Yes,-,Low,"Established in 1975, the temple is located under a large tree with a shed and is mostly visited during Ganesh Utsav.",19.04692667,72.85601833,Consolidate
146,S4,186,Kamala Vinayakar,Ganesh,107.29,50,2014-09-08,Yes,Charity Commission,Moderate,This South Indian temple hosts deities like Ganpati and Shiv.,19.0473054,72.8571041,Consolidate
243,S3,188,Durga devi mandal,Durga,10.96,8,2011-05-15,Yes,-,Moderate,"The temple is located in an open space, but the structure itself is very small. The area in front of the temple is used for parking.",19.0426911,72.8472186,Consolidate
247,S2,183,sai mandir,Sai Baba,10.08,40,1997-07-18,Yes,-,Moderate,"This temple, located at the corner of Rajiv Gandhi Nagar in front of Chaurasiya Pan Bhandar, was renovated and given a proper structure five years ago by Varsha Gaikwad. It is one of the busiest temples in the area, where 20–30 people are always seen sitting and praying.",19.04209167,72.856675,Consolidate
248,S1,189,Shree Sainath Mitra mandal,Sai Baba,9.91,8,2018-01-01,Yes,-,Low,"The temple is surrounded by Marathi and South Indian communities. Registered as a mandal, the adjacent premises is used for organising various religious festivals through the mandal.",0,0,Consolidate
249,S2,186,tayamma devi mandir,Tayamma,9.88,20,1991-06-09,Yes,Charity Commission,Moderate,The temple belongs to the South Indian Kannada community.,19.0426654,72.8472482,Consolidate
250,S4,186,shiv Mandir,Shiva,9.09,10,2007-05-25,Yes,Charity Commission,Low,No information available.,19.04595,72.85854,Consolidate
251,S3,188,Jai bhavani Mata mandir,Parvati,9.08,5,1985-11-02,Yes,-,Low,The temple is located in a densely packed area and is maintained by a family living adjacent to the temple.,19.04196667,72.85415667,Consolidate
252,S3,188,shiv sankar mandir,Shiva,9.01,10,1994-12-31,Yes,-,Moderate,"The temple houses a Shivling and is spacious enough to accommodate over 60 devotees. It is old, well-maintained, and shares its premises with a Shishu Vikas Kendra.",19.04260667,72.85372,Consolidate
253,S3,188,Mahsoba Mandir,Shiva,8.69,5,1980-08-04,Yes,-,Low,The temple is located in a densely packed area with a majority South Indian population.,19.0427056,72.8472177,Consolidate
246,S4,186,shiv mandir,Shiva,10.27,80,2012-10-21,Yes,-,Low,This mandir is located at a key junction of the area and hosts programs on Maha Shivratri and other Shravan month-related events.,19.043845,72.854565,Consolidate
255,S4,186,shree pimpaleshwar mahadev,Shiva,8.59,10,1975-09-01,Yes,-,Low,The mandir is very small and little information is available about it.,19.04260667,72.85534333,Consolidate
256,S3,188,Sai Mandir,Sai Baba,6.35,5,1999-03-07,Yes,-,Low,The area is mostly dominated by Muslim residents.,19.0410352,72.8517582,Consolidate
257,S6,189,hanuman mandir,Hanuman,5.19,15,1990-06-06,Yes,-,Moderate,"The small Hanuman Mandir is located on a walkway beside the gutter dividing Azad Nagar C from A & B. Surrounded by Marathi and North Indian residents, the space is primarily used and officially registered under the Hanuman Mitra Mandal.",19.0426633,72.8471997,Consolidate
258,S5,183,shree Hanuman mandir,Hanuman,4.95,50,1994-02-13,Yes,-,Moderate,"Near Vishwakarma Chawl, there is a small Hanuman Mandir. As locals say, the temple is almost always closed. People passing by still touch the mandir's steps.",19.05042,72.85722167,Consolidate
259,S1,189,sai Mandir,Sai Baba,4.88,5,2000-01-01,Yes,-,Low,"The temple is located in a tightly packed residential area, primarily surrounded by Marathi and South Indian communities. It is well-maintained by local residents.",19.0426552,72.8471993,Consolidate
260,S6,189,hanuman mandir,Hanuman,3.73,15,1994-01-01,Yes,-,Moderate,"A relatively larger temple with Hanuman and Maa Durga idols, located deep inside a gali.",19.0426714,72.8472048,Consolidate
261,S6,189,hanuman mandir,Hanuman,3.66,10,1999-10-07,Yes,-,Low,"A small temple under a tree, frequently visited only by Gujarati residents of the lane.",19.0426582,72.8472245,Consolidate
262,S2,183,shree sai mandir,Sai Baba,3.45,50,1990-05-31,No,-,Moderate,"This temple is located near April Garments in Rajiv Gandhi Nagar. It is one of the biggest temples in the area. People from the North Indian, South Indian, and Marathi communities regularly visit this temple.",19.047625,72.86044833,Consolidate
51,S2,NA,Pir Moula Ali Shah Baba Dargah and Sunnat Jamat Trust,Masjid,475.17,0,1971-01-30,Yes,Waqf Board,High,"This is the most prominent Dargah in Dharavi, believed to be more than 100 years old. Hazrat Peer Maula Ali Shah, also known as 'Shehenshah' of Dharavi, is venerated here.
The Dargah is a three-storied structure. On the second floorr, there is a mosque where Muslims offer namaz, while on another floor, young children are taught Arabic.
Every year, starting from November 26, a ten-day ceremony (Khidmat & Urs) is held here. During this period, multiple cultural programmes are organized, and people from across the area come to visit this sacred place.",19.04561,72.86007167,Regularize
42,S3,187,shri one thousand eight shital nath digambar Jain Mandir,Jain,575.7,15,1995-10-01,Yes,Charity Commission,Moderate,"Located on the 60-foot road, the temple is very well-maintained and is the only prominent Jain Mandir in the locality.",19.04433333,72.84878167,Relocate
121,S3,NA,Mehboob Subhani Dargah,Masjid,151.32,0,1964-12-16,Yes,Charity Commission,Moderate,"The Google coordinates of the structure are correct. However, the name of the area is Tilak Nagar, near the Mahim Railway Station. 
The structure is more than 50 years old. The structure is situated inside a Qabarstan; there is also a Mosque inside it. The place belongs to the Bohra community. However, the community does not live in Dharavi anymore. For the same reason, the place is not maintained properly, and most of Dharavi's people do not know that a Dargah exists there.",19.0431249,72.8465477,Consolidate
124,S2,NA,Shree Hazrat Sayyed Ali Shah Baba Dargah,Masjid,143.39,0,1976-01-18,Yes,Charity Commission,Moderate,"The Chilla of Hazrat Sayyed Ali Shah Baba in Dharavi comes under the Pir Moula Ali Shah Baba Dargah and Sunnat Jamat Trust where it is believed the saint spent his time in deep prayer and meditation, and today devotees regard this chilla as the most sacred part of the dargah, offering their prayers and mannat with faith, especially during the annual Urs.",19.04670833,72.861625,Consolidate
147,S2,NA,lmamwada,Masjid,105.08,0,1970-08-15,Yes,-,Low,"This Imamwada structure is not well-maintained; only a large shed has been installed. In front of the structure, garbage is dumped. Nearby, only the Sunni Muslim community resides. According to the residents, this Imamwada is not used on a daily basis. It is used only during certain Muslim events, and that too only by the Shia community. Since the Shia population is very small in the area, the Imamwada is not very relevant for the nearby residents.
The Google coordinates provided are wrong.",19.04547667,72.859265,Consolidate
148,S3,NA,Imamwada,Masjid,104.81,0,2015-08-18,Yes,Charity Commission,Low,"This chabil is located in the Kalyanwadi area. In front of it, there is a big ground. The chabil has ""Husnain Chowk"" written on it, and it is accessible only to nearby residents as it is situated in the interior. This chabil is maintain by the local residents on their own. In this ground, the Muslim community celebrates all their festivals, making the chabil very important for them. On the left side of the chabil, there is a small area where residents have built sheds for their pets (goats).",19.045045,72.84945,Consolidate
170,S3,NA,Al Panjetan Gausia Paak Dargah,Masjid,63.54,0,2019-11-04,No,Charity Commission,Moderate,"Al Panjetan Seva Sansthan is maintaining this Chilla. Nearby, a large shed has also been installed. The Chilla structure is small in size but well-maintained. The surrounding area is inhabited by both the Muslim community and the South Indian community.",19.03709667,72.85169667,Consolidate
198,S3,NA,Kadar Wali Dargah,Masjid,33.93,0,2019-11-04,Yes,Charity Commission,Low,"The structure is a 'Chilla'. It is only relevant on the occasion of religious processions. 
According to some of the locals, it is registered as a Dargah. However, some of the locals do not have any idea about such a structure.",19.0399,72.853095,Consolidate
220,S3,NA,"Dargah,Bombay Atthankarai Sheik Syed Ali Fathima Rally Dargah Committee",Masjid,20.22,0,1995-02-27,Yes,Charity Commission,Low,"The structure is a 'Chilla'. According to some of the locals, it is a Chilla. Some of the locals could not identify such a structure present in the area.
On the ground visit, there was no such structure found with Google coordinates.",19.04236333,72.85329,Consolidate
225,S2,NA,Hazrat Karimullah Shah Sewa Sangh,Masjid,17.73,0,2015-06-13,Yes,Charity Commission,Low,This is an old chilla situated on the main road surrounded by the textile market. The structure is new. It consists of water taps. There were many religious flags on one side of the Chilla. Hazrat Karimullah Shah Sewa Sangh maintains this chilla. The area is inhabited mostly by the muslim community.,19.045724,72.860903,Consolidate
4,S5,NA,Buddha vihar,Buddha,4273.94,0,2018-05-15,No,Charity Commission,Moderate,"Buddha Vihar is located in a narrow lane and consists of a large hall, which is often used for community gatherings and private events.",19.0525844,72.8651799,Consolidate
72,S1,NA,Buddha Vihar,Buddha,327.79,0,1966-07-10,Yes,-,low,"The Budh Vihar structure is relatively new and, according to locals, not frequently used.

Visitor turnout is very low, with most attendees belonging to the Valmiki community.",19.03706167,72.85123667,Consolidate
75,S4,NA,Buddha Vihar,Buddha,309.64,0,2021-07-02,No,Charity Commission,low,"The correct address is M. P. Nagar, Dhor Wada, Gopinath Colony. Kaling Buddha Vihar, holds low relevance with extremely low footfall. The area is Muslim-dominated, and the Vihar is located on the ground floor, with one family residing on the first floor.",19.04477167,72.85740333,Consolidate
108,S1,NA,Buddha Vihar,Buddha,173.82,0,1984-01-01,Yes,Charity Commission,low,The structure is new and not located in Valmiki Nagar as mentioned in the survey. It is situated in front of Sahu Nagar Municipal School and can be considered part of Sahu Nagar. The site is not a proper Budh Vihar but is often used for community activities and functions.,19.037775,72.85163167,Consolidate
110,S1,NA,Buddha Vihar,Buddha,172.02,0,1999-11-11,Yes,Charity Commission,low,"The structure of Budh Vihar is old and spacious, and it was established in 1964.",0,0,Consolidate
154,S2,NA,"panchshil baudda seva samiti, dharavi, Mumbai",Buddha,92.83,0,1985-01-01,Yes,Competent authority,Moderate,"Panchashil Buddha Vihar, established in 1980, has moderate relevance with a footfall of 10 to 15 visitors per day. It is located in a Marathi locality, with a small open space in front of the Vihar.",19.0428113,72.8471666,Consolidate
155,S2,NA,Buddha Vihar,Buddha,91.34,0,1981-07-10,Yes,-,NA,Not Found. There is a possibility that Buddha vihar is inside Dr. Baba Saheb Ambedkar Samaj mandi (Hall).,19.0400291,72.8583492,Consolidate
215,S4,NA,Buddha vihar,Buddha,21.91,0,1974-02-11,Yes,-,Low,Pragati Mahila Mandal (Buddhjan Panchayat Samiti) is a very small establishment with low relevance and a footfall of about 5 to 10 visitors per day.,19.04792,72.856695,Consolidate
47,S3,NA,anjuman e falahul muslemeen trust,Masjid,512.11,0,1985-07-16,Yes,Charity Commission,Moderate,"The madrasa is run by the Anjuman-e-Falhul Musalmin Trust and functions under the parent body Qadriya Masjid. It currently has around 50 students and are taught by teacher Md. Sufiyan. Classes are held in the morning from 9–10 and in the evening from 6–8, where Arabic language and the Quran are taught. The madrasa charges a fee of ₹200 per student and is attended by boys and girls aged between 4 and 16 years. The madrasa was renovated about three months ago.",19.0405846,72.8529488,Consolidate
69,S1,NA,Madrasa E Abdul Munaff,Masjid,349.4,0,1999-08-30,Yes,Charity Commission,Low,"The madrasa is managed by the Sunni Isalaamiya Masjid Trust, which also provides the teacher, Hasan Raza, with a salary. While survey records mention 350 sq. ft., the actual size is closer to 150 sq. ft. 
According to the teacher, the madrasa has been closed for the past four months, with no students attending. The location is beside a railway track which has raised safety concerns, and an earlier incident where a student almost died has made parents cautious about sending their children here. Instead, they prefer to send their children to the Anjuman Mufidil Muslimin Association (Primary Key-79). The institution itself is around 25–27 years old.",0,0,Consolidate
79,S1,NA,Anjuman Mufidil Muslimin Association,Masjid,270.42,0,1975-07-31,Yes,Charity Commission,High,"The madrasa is run by the Jashne Bismillah Navjawan Niyaz Committee and is headed by teacher Yakub Mohammad Sheikh. It charges a fee of ₹200 per student and has been operating since 1994. Classes are conducted in the morning from 8–10 and in the evening from 4–6, where Arabic language and the Quran are taught. Around 70 children, aged between 4 and 17 years, attend the madrasa. The parent body of this institution is the Sunni Maqdumiya Masjid.",0,0,Consolidate
173,S2,NA,"Asthana,Yaad e Husain Moharram Commitee",Masjid,60.66,0,1976-07-09,No,Charity Commission,Moderate,"The madrasa is managed by the Zanbiya Mohammadiya Trust under the parent body Madina Masjid. Teacher Md. Hanif conducts the classes, while Abrar Khan serves as the treasurer. The madrasa has around 40 students, mostly in the 4 to 17 age group. Classes are held only in the evening from 6 to 8, where Arabic language and the Quran are taught. The madrasa has been functioning for nearly 30 years and holds moderate relevance.",19.04415,72.86007667,Consolidate
221,S2,NA,"Asthana, Yaad E Husain Moharram Commitee",Masjid,19.77,0,1976-07-09,Yes,Charity Commission,Low,"It is a very small room, measuring about 20 sq. ft., located within Madarasa (Key 173) premises. The space can accommodate a maximum of 10 children and operates in the evening from 6–7. There is no appointed teacher for this madrasa; instead, around 4–5 children aged 10–12 years gather to study on their own, either school lessons or Quran reading. Given its limited scale and informal functioning, the madrasa holds low relevance.",19.04415,72.86007667,Consolidate
115,S1,NA,New Sardis Church,Church,155.51,0,1984-10-25,Yes,Charity Commission,Low,The Shalom Methodist Kannada Church is at this location. Mostly Kannada people go there to pray. The church also conducts a nursery school in the morning. The area of this church is larger than that of the New Sardis Church.,19.03548667,72.85124,Consolidate
